cityNumber,cityName,1,2,3,4,5,6,7,8,9
1,Chicago,24.30,50.38,71.73,14.71,25.12,26.15,10.01,19.49,30.54
2,Denver,40.55,52.46,69.11,27.54,36.78,58.62,20.23,25.86,45.48
3,Washington,32.21,53.80,73.74,20.56,41.81,70.31,18.34,33.02,55.20
4,Pittsburg,14.94,24.75,37.81,10.00,16.94,27.45,9.99,16.97,32.88
5,Portland,19.01,25.89,37.02,10.72,18.29,26.50,7.21,14.39,25.27
6,Las Vegas,48.24,90.69,173.71,46.25,54.71,78.20,29.18,42.95,80.78
7,Los Angeles,41.39,53.53,73.61,33.54,43.65,62.14,21.85,33.11,59.65
8,Milwaukee,49.59,60.69,73.90,28.92,40.49,53.95,12.86,22.03,39.64
9,San Jose,20.69,31.49,46.63,15.14,26.34,43.89,13.12,23.08,44.75
10,Orlando,28.54,39.43,50.35,22.39,33.25,51.41,18.14,26.24,42.21
