name,group,value
Chicago,1,24.30
Chicago,2,50.38
Chicago,3,71.73
Chicago,4,14.71
Chicago,5,25.12
Chicago,6,26.15
Chicago,7,10.01
Chicago,8,19.49
Chicago,9,30.54
Denver,1,40.55
Denver,2,52.46
Denver,3,69.11
Denver,4,27.54
Denver,5,36.78
Denver,6,58.62
Denver,7,20.23
Denver,8,25.86
Denver,9,45.48
Washington,1,32.21
Washington,2,53.80
Washington,3,73.74
Washington,4,20.56
Washington,5,41.81
Washington,6,70.31
Washington,7,18.34
Washington,8,33.02
Washington,9,55.20
Pittsburg,1,14.94
Pittsburg,2,24.75
Pittsburg,3,37.81
Pittsburg,4,10.00
Pittsburg,5,16.94
Pittsburg,6,27.45
Pittsburg,7,9.99
Pittsburg,8,16.97
Pittsburg,9,32.88
Portland,1,19.01
Portland,2,25.89
Portland,3,37.02
Portland,4,10.72
Portland,5,18.29
Portland,6,26.50
Portland,7,7.21
Portland,8,14.39
Portland,9,25.27
Las Vegas,1,48.24
Las Vegas,2,90.69
Las Vegas,3,173.71
Las Vegas,4,46.25
Las Vegas,5,54.71
Las Vegas,6,78.20
Las Vegas,7,29.18
Las Vegas,8,42.95
Las Vegas,9,80.78
Los Angeles,1,41.39
Los Angeles,2,53.53
Los Angeles,3,73.61
Los Angeles,4,33.54
Los Angeles,5,43.65
Los Angeles,6,62.14
Los Angeles,7,21.85
Los Angeles,8,33.11
Los Angeles,9,59.65
Milwaukee,1,49.59
Milwaukee,2,60.69
Milwaukee,3,73.90
Milwaukee,4,28.92
Milwaukee,5,40.49
Milwaukee,6,53.95
Milwaukee,7,12.86
Milwaukee,8,22.03
Milwaukee,9,39.64
San Jose,1,20.69
San Jose,2,31.49
San Jose,3,46.63
San Jose,4,15.14
San Jose,5,26.34
San Jose,6,43.89
San Jose,7,13.12
San Jose,8,23.08
San Jose,9,44.75
Orlando,1,28.54
Orlando,2,39.43
Orlando,3,50.35
Orlando,4,22.39
Orlando,5,33.25
Orlando,6,51.41
Orlando,7,18.14
Orlando,8,26.24
Orlando,9,42.21
